"Tossup Question","Answer","Category","Author","Edited","Packet","Question Number","Comments","Id"
"The death of a member of this family was witnessed and described by the satiric poet Pietro Aretino, and came after his failed attack on Governolo. That member of this family ordered his soldiers' armor to be burnished black after the death of Pope Leo X, earning him the epithet ""of the Black Bands."" Another of its members was granted a monopoly over the alum mines at Tolfa, and assembled a collection of ancient manuscripts that later formed the core of the (*) Laurentian library. Yet another member of this family was targeted by a plot that sought to replace him with Francesco Salviati, archbishop of Pisa; that was the Pazzi Conspiracy. They were briefly deposed by Savonarola. Cosimo the Elder and Lorenzo the Magnificent were members of, for 10 points, what family that ruled Florence?","the _Medici_s","History - Euro","Hankin","False","Packet 08","999","","11035"
"In the 1780s, a ruler with this name faced his country's ""Patriot Time"" and the 1787 revolution that those Patriots launched, which a Prussian army put down. Another prince of this name used the motto ""je maintiendirai"". That prince was recognized as ""protector"" of his country ""in the absence of His Royal Majesty"" by an assembly at Dordrecht, and was the driving force behind the Pacification of Ghent. That man led a force of naval ""sea (*) beggars"" and was assassinated by Balthasar Girard after fighting the Duke of Alba in the Eighty Years' War to gain his country's independence. A king of this name was invited by the Immortal Seven to depose James II in the Glorious Revolution. For 10 points, give this name of the Dutch prince who ascended the English throne with his wife Mary.","_William_ [or _Willem_; accept any regnal numbers; accept _William_, prince of _Orange_ or _Willem_, prins van _Oranje_; accept _William the Silent_ or _Willem de Zwijger_]","History - Euro","Hankin","True","Packet 07","999","Hbunker: is this getting cut?||","11036"
"During this war, a London Times article called the country where it took place a ""cockpit"": meaning a distorting mirror. An aerial bombardment in this war destroyed a town's sacred 600-year-old oak tree, and targeted the Rentería Bridge. One of its causes was the CEDA's fall from power, which prompted a coup led by José Sanjurjo. Following this war's Battle of Teruel, an unsuccessful attack on the bend of a river was ordered by Prime Minister (*) Juan Negrin. During this war, Emilio Mola coined the term ""fifth column."" Units in this war included the German ""Condor Legion,"" and ""International Brigades"" such as the Abraham Lincoln Brigade. Battles at the Ebro and Guernica were fought during, for 10 points, what war that brought Francisco Franco to power in an Iberian country?","_Spanish Civil_ War [or ~Guerra _Civil Española_~; prompt on __~Guerra Civil~__ or __~La Guerra~__]","History - Euro","Hankin","False","Packet 02","999","","11037"
"A book of the Bible ascribed to this man tells readers to ""gird up the loins of your mind,"" and quotes Isaiah's claim that ""[a]ll flesh is as grass."" One book of the Bible ascribed to him refers to the Pauline epistles as ""scripture"" and adds a line about a sow who has washed returning to her mire to a quote from Proverbs. According to the Gospel of John, this man cut the ear off the high priest's servant following Jesus's arrest. The Gospel of Matthew describes how this figure begins to walk on (*) water but begins to sink as his faith wavers.  As Jesus walks by the Sea of Galilee, he tells this fisherman and his brother Andrew that they will become ""fishers of men."" In the final chapter of the Gospel of John, this man reaffirms his love for Jesus three times, reflecting his earlier threefold denial of Jesus. For 10 points, name this man whom Jesus calls a rock, recognized by Roman Catholics as the first pope. ","Saint _Peter_ the Apostle [or _Simon Peter_ or _Simeon Peter_, or any of those answers with _Cephas_ or _Kephas_ in place of Peter; prompt on __Simon__ or __Simeon__]","Religion - Judeo-Christian","Hankin","True","Packet 11","999","Hbunker: Move sow line down. Add clue about Andrew. ||nour_hijazi: The clue about Peter walking on water should definitely be moved down. ||CPiGuy: Moved water clue down per Nour's suggestion.||","11038"
"This Biblical book decries ""those who hold the doctrine of Balaam,"" and those who let Jezebel ""teach and seduce My servants."" It also laments ""you have left your first love."" This book promises various rewards to ""he who overcomes,"" such as receiving a white stone on which a new name is written. In its first chapter, the narrator is commanded to write letters to some churches in Asia Minor, then turns around and sees a vision of (*) seven golden lampstands surrounding Jesus, who has a two-edged sword coming out of his mouth and holds seven stars in his right hand. Jesus says ""I am the Alpha and the Omega"" in this book, which includes the opening of seven seals and the riding of four horsemen. For 10 points, what book that usually ends the New Testament describes the Apocalypse?","Book of _Revelation_ [or _Revelation to John_; accept _Apocalypse of John_ before ""Apocalypse""; do not accept nor prompt on ""Apocalypse"" or ""Revelations""]","Religion - Judeo-Christian","Hankin","True","Packet 04","999","Hbunker: seven should be moved down||CPiGuy: eh, i'd just change it from ""new testament book"" to ""biblical book""; there are plenty of weird mystical prophecies in the old testament so it wouldn't be so obvious||","11039"
"According to Pausanias, the founder of this city fought the Hyantians and the Aonians. Before those people settled here, this city's land was inhabited by Ogygus, who ruled the Ectenians. This city had to pay a tribute of 100 oxen a year to Erginus of Orchomenus, until Hercules led it in revolt. While helping a king of this city, Amphitryon set the infallible hound Laelaps on the uncatchable (*) Teumessian fox. The musician Amphion charmed stones into moving to build the walls of this city. The founder of this city followed a cow until it collapsed, then sowed a dragon's teeth to create the Spartoi warriors. A king of this city solved the riddle of the Sphinx before killing his father and marrying his mother. For 10 points, name this city founded by Cadmus and ruled by Oedipus.","_Thebes_","Myth - Myth","Hankin","True","Packet 12","999","","11041"
"This man leads an attack that is likened to grey wolves on a winter day who elude dogs and shepherds and attack sheep in their pens. In addition to launching that attack is against the Bebrycians, in Lybia this man is told by three nymphs to pay recompense to his mother. A messenger of Queen Arete tells this man to marry a woman he has carried off. Earlier, he had killed that woman's brother, Apsyrtus. At the streams of Anaurus, this man encountered (*) Hera disguised as an old woman; while carrying her across the water, he lost a sandal. This man accepted the challenge of his uncle Pelias and sailed to Colchis, a land ruled by King Aeëtes (Ah-eat-eez). There, he plowed a field with fire-breathing bulls with help from a potion brewed by his future wife, Medea. For 10 points, name this leader of the Argonauts who sought the Golden Fleece.","_Jason_ [or _Iason_; do not accept nor prompt on ""Aeson""]","Myth - Myth","Hankin","False","Packet 10","999","Hbunker: Maybe move Colchis down||","11042"
"This goddess decries the unfairness of one people supposedly committing a ""disgrace"" by ""throw[ing] up a circle of fire"" around their attackers, while those attackers are ""right"" to ""crush under their yoke fields they don't own.""  This goddess is described as holding a sword at her side and controlling the Scaean Gates. As a good omen for a city, this goddess buried the head of a ""spirited (*) horse."" Her ""great force...must be the first you respect in your prayers,"" according to the seer Helenus. She offers her nymph Deiopea to Aeolus if he'll send a hurricane. During a hunt, this goddess sends a storm that forces Dido and Aeneas to take shelter in a cave. She spends much of the ~Aeneid~ harassing the Trojans. For 10 points, name this Roman equivalent of Hera.","_Juno_ [prompt with ""Give the Roman equivalent"" on answers of __Hera__ before mentioned]","Myth - Myth","Hankin","False","Packet 01","999","","11043"
"Songs by a composer from this country are collected in the volume ~A Pilgrim's Solace~. That composer from this country also wrote a set of 21 pieces scored for five viols and a lute, his ~Lachrimae~. Another composer from this country wrote a piece for Catholic masses, ~Gradualia~, and collaborated with his teacher on ~Cantiones Sacrae~. That teacher from this country may have composed one piece in order to one-up Alessandro Striggio's ~Ecce Beatam Lucem~, or to celebrate the birthday of a (*) queen of this country. That piece, a motet whose 40 voices are divided into eight choirs of five, has a title meaning ""Hope in any other,"" ~Spem in alium~. For 10 points, name this home country of Thomas Tallis, the subject of variations by a later composer from here, Ralph Vaughan Williams.","_England_ [accept Great _Britain_ or _U_nited _K_ingdom of Great Britain and \(Northern\) Ireland]","Arts - Classical Music","Hankin","False","Packet 13","999","Hbunker: Left a preliminary powermark.||Hbunker: remove underground reference||","11044"
"In the first movement of the first of these pieces, the soloist plays six mordents on B to open a section representing bird songs. In the first movement of the third of these works, descending F-major arpeggios from the soloist open a section labeled ""~L'ubriaco~,"" or ""the drunkard."" The last of these works ends with ""Sirocco, Boreas, and all the winds in battle""; that piece uses pizzicato strings to depict (*) raindrops hitting windows, and dissonant violin intervals to represent teeth chattering. The composer of these works wrote sonnets to accompany them, such as one about a goatherd's dog. This set of works comprises the first third of ~The Contest Between Harmony and Invention~. For 10 points, name this set of violin concertos by Antonio Vivaldi that begins with ~Spring~ and ends with ~Winter~.","~The _Four Seasons_~ [or _~Le quattro stagioni~_; prompt on ~Il __cimento dell' armonia e dell' inventione__~ or translations such as ~The __Contest Between Harmony and Invention__~ or ~The __Trial of Harmony and Invention__~ before ""Contest""; prompt on __violin concertos__ by Vivaldi before ""concertos""; anti-prompt on individual seasons/movements]","Arts - Classical Music","Hankin","False","Packet 08","999","","11045"
"In a work by this composer - one of his collaborations with lyricist Salomo Franck - the soprano soloist declares in a cheerful D-major recitative that ""to cuddle in playful tenderness is better than Flora's fading delights."" That recitative, ""~Sich üben im Lieben~,"" is from a piece by this composer for solo soprano, solo oboe, and continuo, ""~Weichet nur, betrübte Schatten~."" Dame Myra Hess wrote a piano transcription of the tenth and final movement of this composer's ~Herz und Mund und Tat und Leben~, (*) ""~Jesus bleibet meine Freude~"". This composer's other cantatas include ones titled ~Sleepers Wake~ and ~Coffee Cantata~. Felix Mendelssohn was a key figure in reviving many of this composer's works including the ~St. Matthew Passion~. For 10 points, name this German baroque composer of the ~Brandenburg Concertos~ and ~Toccata and Fugue in D minor~. ","Johann _S_ebastian _Bach_ [prompt on __Bach__]","Arts - Classical Music","Hankin","False","Packet 03","999","joesu235: someone commented on this, but I'm not sure it's that transparent. I'll wait a week before seeing if this really needs to get rid of all the German names. ||","11046"
"This composer marketed one set of string quartets to potential patrons as written in a ""new and special"" way. A quartet in that Opus 33 has a melody in its ~Rondo - Presto~ finale derived from a Slavonic folk tune, has the first violin enter in the first movement on sustained G's, and gets its nickname from the chirping grace-notes it uses throughout; that quartet, ""The Bird,"" joins quartets such as (*) ""The Joke"" in this composer's ""Russian"" quartets. This composer wrote the melody that became ""~Deutschland, Deutschland über alles~,"" and used it as a theme for variations in his ""Emperor Quartet."" He was the dedicatee of sets of string quartets by both Beethoven and Mozart. For 10 points, what ""Father of the String Quartet"" and ""Father of the Symphony"" composed the ~Surprise Symphony~?","Franz Joseph ""Papa"" _Haydn_","Arts - Classical Music","Hankin","False","Packet 16","999","","11047"
"The third movement of a G-minor work for this instrument and piano is a Largo in 3/2 time, which is only 27 measures long. That work, dedicated to a player of this instrument named Auguste Franchomme, was the last major composition of Chopin. This is the solo instrument in a piece that was altered by the man who premiered it, Wilhelm Fitzenhagen.  A concerto for this instrument includes an elegy for Josefina Kounicová based on its composer's song ""Leave me alone"". That concerto was dedicated to Hanus Wihan and was likely based on a concerto for the same instrument by (*) Victor Herbert. This is the solo instrument in Tchaikovsky's ~Variations on a Rococo Theme~. J.S. Bach wrote six unaccompanied suites for this instrument. Elgar wrote a E-minor concerto for this instrument that was popularized by Jacqueline du Pré. For 10 points, name this instrument played Yo-Yo-Ma.  ","violon_cello_","Arts - Classical Music","Hankin","False","Packet 10","999","Hbunker: verify first one is chopin cello sonata||Hbunker: the middle clues about the Dvorak Concerto are kind of hard||joesu235: fixed||","11049"
"In each of the first five measures of a piano piece by this composer, the right hand trills between C-sharp and D-sharp before playing 32nd notes. This composer wrote a piano piece in 4/8 that opens with the left hand playing a D-flat-A-flat interval and described the opening motif of that piece as ""a little circle in water with a little pebble falling into it."" This composer of ""Reflections in the Water"" and ""The Joyous Isle"" ended a piano suite with a syncopated piece named after a minstrel show-inspired black doll. (*) ""The Snow is Dancing"" and ""Serenade of the Doll"" are movements in a suite by this composer whose opening movement is named for a text by Johann Fux. That movement, ""Doctor Gradus ad Parnassum"", opens his ~Children's Corner~. This composer also wrote a symphonic poem that begins with a solo flute playing a descending then ascending chromatic pattern. For 10 points, name this composer of ""Clair de lune"" and ~Prelude to the Afternoon of a Faun~.","Claude _Debussy_","Arts - Classical Music","Hankin","False","Packet 07","999","Hbunker: Golliwogg's Cakewalk is a huge cliff here||joesu235: fixed||","11050"
"Near the end of another piece's second movement, this composer wrote ""Alliluya"" on the top of a page; at the very end of the score, he wrote ""I thank thee, Lord."" In a piece by this composer for piano and orchestra, the pianist begins this 16th-note-rhythm melody on beat three of the second-measure: A-flat, down to F, up to G-flat, up to A-flat, down to D-flat. A work by this composer opens with a loud and long F-minor chord in the piano followed by a single very low F. Both that C-minor piano concerto and a C-sharp minor prelude by this composer opens with (*) bell like chords. This composer included a prominent alto saxophone part in his ~Symphonic Dances~. This composer used an Italian composer's 24th caprice for solo violin as the theme in a piece for piano and orchestra with 24 variations. For 10 points, name this Russian composer of ~Isle of the Dead~ and ~Rhapsody on a Theme of Paganini~.","Sergei \(Vasilievich\) _Rachmaninoff_","Arts - Classical Music","Hankin","False","Packet 12","999","Hbunker: cut reference to his depression||","11051"
"A composer from this country wrote a solo piece in which the right hand enters with the following quarter note dyads: (read slowly) E-flat-G, C-E-flat, E-flat-G. Another piano suite by that composer, titled for a painter from this country, includes a piece that ends with several cycles of ~Vivace~ 32nd notes and ~Lento~ trills representing the title bird that a girl sings a duet with; that is (*) ""The Maiden and the Nightingale."" One of its native sons wrote a piano piece depicting the Gypsy quarter Triana. Another composer from this country wrote a ballet that includes a ""Dance of Terror"" and a ""Ritual Fire Dance."" That composer of ~Love, the Magician~ also wrote ~Nights in the Gardens of~ [this country]. For 10 points, what home country of Enrique Granados and Manuel de Falla (FEYE-uh) did Isaac Albeniz depict in ~Ibéria~?","Kingdom of _Spain_ [or ~Reino de _España_~; accept ~12 _Spanish_ Dances~ or ~12 danzas _español_as~; accept _~Nights in the Gardens of Spain~_ or _~Noches en los jardines de España~_] ","Arts - Classical Music","Hankin","False","Packet 04","999","Hbunker: inserted a read slowly before score clues. I think this tossup kind of cliffs but it's okay.||","11052"
"This musician played organ on an album that opens with the 32-minute long ""He Loved Him Madly."" A piece by this jazz musician is the namesake of a chord consisting of E, A, D, G, B; the piano plays that chord after the song's opening D-Dorian, eighth-note bass solo. He included the tuba player Bill Barber in a nonet that recorded Gerry Mulligan's song (*) ""Jeru."" While this man was supposed to be attending Julliard, he spent most of his time jamming with his roommate, Charlie Parker. He turned his quintet into a sextet by adding a second saxophonist, Cannonball Adderley. That sextet recorded a song that opens with a bass solo by Paul Chambers; that song is ""So What."" For 10 points, name this jazz trumpeter behind ~Birth of the Cool~ and ~Kind of Blue~.","Miles Dewey _Davis_ III ","Arts - Other Auditory","Hankin","False","Packet 08","999","Hbunker: rework lead-in and clues that lead people to think he is a trumpeter or else delete||esuttell: what are the complaints about the lead-in? Removed the mute clue, will fill in with something else||","11053"
"A section of one piece by this jazz musician ends with a D-flat-13 chord with raised 11th; the piece then returns to its first theme by echoing the opening triplet-rhythm low notes F-sharp, G, C. That piece, ""The Duke,"" was this man's tribute to both Duke Ellington and his teacher Darius Milhaud, and appears on his album (*) ~Jazz: Red Hot and Cool~. Another piece by this man, which he picked up from street musicians while abroad, uses the following four-measure rhythm cycle: three measures of eighth notes grouped into 2+2+2+3, then a measure of 3+3+3. That piece in 9/8 time appears with a Paul Desmond piece in 5/4 time - which is the best-selling jazz single of all time - on this man's album ~Time Out~. For 10 points, name this jazz pianist behind ""Blue Rondo a la Turk"" and ""Take Five.""","\(David Warren\) Dave _Brubeck_","Arts - Other Auditory","Hankin","False","Packet 02","999","","11054"
"In a series of ""remarks"" on this book, Wittgenstein criticized the author's interpretation of epistemology and equated metaphysics as a ""kind of magic."" In one section of this text, the author notes the significance of how, in voodoo, harming a person's extremities harms the person and discusses the sacrifice of rulers. The ritualized king is discussed in this work and says that those ""Kings of the (*) Wood"" often attained their positions by murdering their predecessors. ""Aftermath"" is the name of an added volume to this larger work which describes a doomed priest of Nemi (NAY-me). This book observes a commonality about the legend of rebirth and argues that societies advance from believing in magical phenomenon to religious phenomenon to finally scientific reasoning. For 10 points, identify this ""Study in Comparative Religion"" by James Frazer.","~_The Golden Bough_~","Social Science - Other","Bunker","False","Packet 07","999","","11080"
"A principle championed by this thinker was criticized by Alonzo Church who said that any statement could become meaningful under this thinker's definition. One book by this thinker discusses what we mean when we say an event has passed and follows G.E. Moore by arguing that the skeptic's beliefs can be rejected even if one can not say the skeptic is wrong. This thinker's ideas about perceptible behavior and consciousness precede the (*)Turing Test. A meta-ethical principle attributed to this thinker says that ethical statements denote emotional states.This author of ~The Problem of Knowledge~ oft-visited the Vienna Circle and wrote about the criterion of meaning and the verification principle in his most notable work. For 10 points, identify this logical positivist who wrote ~Language, Truth, and Logic~.","Alfred Jules _Ayer_","Philosophy - Philosophy","Bunker","True","Packet 15","999","","11082"
"In one card game, playing an Alchemist lets you do this twice, while playing a Caravan lets you do this when you play it and at the beginning of your next turn. Other cards that let you do this twice in that card game include Moat and Laboratory. In several games, including Dominion, cards which let you do this once when you play them are referred to as ""cantrips."" In ~Magic: the Gathering~, the artifact Howling Mine causes all players to take this action an additional time per turn, and one of that game's so-called ""Power Nine"", (*) Ancestral Recall, causes you to do this action three times. In Uno, if a player cannot play, they must do this until they are able to make a legal play. In a variety of poker named for this action, players can discard any number of cards from their hand and then perform this action that many times. For 10 points, identify this action often taken in card games to increase one's hand size.","_draw_ing a card [accept drawing any arbitrary number of cards such as _drawing three cards_]","Trash - Other","Thompson","False","Packet 16","999","","11097"
"A 3/8 scherzo by this composer uses the rhythmic motif of LONG, short, short, short, short, LONG, LONG, LONG.  Gustav, Prince of Vasa was the dedicatee of this composer's three opus 44 string quartets, while another one of his string quartets uses the song ""Ist es wahr"" as a cyclic motif. In a work by this composer, trumpets play short, short, short, long C's before the same rhythm builds up a C-major chord. This composer was influenced by a Beethoven cantata about a Goethe poem to write (*) ~Calm Sea and Prosperous Voyage~. A suite by this composer includes the vocal numbers ""Through this house give glimmering light"" and ""Ye Spotted Snakes"". This composer's trips to the British Isles led to his composition of the ~Scottish~ Symphony and the ~Hebrides~ overture. For 10 points, name this composer who wrote incidental music to Shakespeare's ~Midsummer Night's Dream~ and the ~Italian~ Symphony. ","Felix _Mendelssohn_","Arts - Classical Music","Su","False","Packet 09","999","CPiGuy: this is not a ""suite"" apparently, look at changing the pronoun?||joesu235: fixed||jsmyers: Drastically reduce the length of this tossup taken up by score clues||joesu235: rewrote as a Mendelssohn tossup ||","11140"
"Along with the tympani, this instrument's only appearance in Faure's Requiem is during the ~Libera Me~ section. In one concerto, this instrument opens with the ascending notes B-flat, D, F, A, B-flat and is accompanied by three clarinets playing a B-flat major chord in triplets. A group of these instruments play the opening section of Verdi's overture to ~Nabucco~ and the first forte section 37 bars into Wagner's overture to ~Tannhauser~. This instrument plays an arpeggiated B-flat chord to open the (*) ~Tuba Mirum~ section of Mozart's Requiem. The modern incarnation of this instrument, whose older relatives include the sackbut, is said to have made its orchestral debut along with the piccolo the fourth movement of Beethoven's 5th symphony. For 10 points, name this brass instrument played by adjusting a slide. ","_trombone_","Arts - Classical Music","Su","False","Packet 05","999","","11142"
"One method for doing this task in hard real-time systems is IBMs Metronome algorithm, whose performance is measured by minimum mutator utilization. Along with wear leveling, this process is a key contributor to write amplification in solid state drives. One method of doing this involves sorting inputs into ""buckets"" based on age and relies on the infant mortality hypothesis. One method of doing this creates ""broken hearts"" after moving objects from the to-space to the from-space. Strong (*) references are protected from this process. In one algorithm for this process, all registers accessible from the base register have their signs made negative. Stop-and-copy and mark-and-sweep are two implementations of this process, which eliminates dangling pointers. For 10 points, name this process where a program removes unused objects.","_Garbage Collection_ [or _GC_]","Science - CS","Bunker","True","Packet 08","999","","11159"
"Its not clustering, but an adaptive, statistical method for doing this process that estimates the probability of so-called ""escapes"" is called PPM. The Blahut-Arimoto algorithm is used to calculate rate-distortion functions, which give the theoretical bound of one type of these algorithms. A ""dictionary-based"" algorithm to perform this process works best on objects with many substrings, and has an encoded output of the index in its typically 256 character dictionary. That algorithm is (*) LZW and is commonly contrasted with the tree-building Huffman encoding to accomplish this process. Deduplication is often One form of this process can remove redundant information and is seen in the JPEG file format. This process can come in lossy or lossless forms. For 10 points, name this computer process that can create rar or  zip files which shrinks the size of a file.","_compression_ [accept lossy or lossless _compression_]","Science - CS","Bunker","True","Packet 13","999","emukherj: I took out the DEFLATE clue because the name is kind of a giveaway - I need to find one more clue||emukherj: And found||","11160"
"This animal is depicted to the right of the lying, red-haired subject in Piero di Cosimo's ~A Satyr Mourning over a Nymph~. An engraving by Henry Graves titled ~The Connoisseurs~ depicts two of these animals looking over the shoulder of an artist who frequently painted them. Pierre Bonnard modeled his depiction of this animal in ~The Red Checkered Tablecloth~ after a work that shows one of these animals possibly drowning under an ochre sky, part of Goya's Black Paintings. One of these animals, often depicted by (*) Edwin Landseer, stands on brown earth next to a yellow and red ladder in a surrealist painting depicting it underneath the title object. Erwin Panofsky argues that one of these animals symbolizes fidelity at the feet of the title couple in the ~Arnolifini Wedding~. For 10 points, name this animal that barks at the moon in a Joan Miró work.","_Dog_ [accept anything reasonably related to their canine qualities; do not prompt on wolf]","Arts - Painting","Bunker","True","Packet 10","999","jsmyers: Could we do this but with middle clues that aren't Dogs Playing Poker?||esuttell: Use Landseer stuff as middle clues?||esuttell: Edited||Hbunker: distinguished member of this society for dog||","11161"
